Trend_Name;Tag_Name;Tag_Color;Tag_LowLimit;Tag_HighLimit;Tag_Unit;Tag_Type;Address
100310EG00999T32_L043;100310EG00999T32_L043RM1TM1_M1;#008080;15;50;°C;;001:21140_14_AI
100310EG00999T32_L043;100310EG00999T32_L043LE1RV1_Y1;#000000;-10;110;%;true;001:21140_22_AI
100310EG00999T32_L043;100310EG00999T32_L043BY1LK1_Y1;#808080;-15;115;%;true;001:21140_20_AI
100310OG01999T23_L028_Luftmenge;100310OG01999T23_L028AB1PM1_M1;#FFCC99;0;800;Pa;;001:231_15_AI
100310OG01999T23_L028_Luftmenge;100310OG01999T23_L028AB1YR1_Y1;#000000;-10;110;%;true;001:231_24_AI
100310OG01999T23_L028_Luftmenge;100310OG01999T23_L028AU1LK1_V1;#C0C0C0;-15;115;%;true;001:231_20_AI
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028KM1KO1_M1;#00FF00;-1;2;;true;001:231_145_BI_31
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028KM1KO1_M2;#33CCCC;-2;3;;true;001:231_146_BI_31
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028KM1KO1_Y1;#000000;-10;110;%;true;001:231_26_AI
100310OG01999T23_L028_feuchte;100310OG01999T23_L028RM1FM3_M1;#008080;25;65;%rF;;001:231_18_AI
100310OG01999T23_L028_feuchte;100310OG01999T23_L028RM1FM4_M1;#FFCC99;25;65;%rF;;001:231_19_AI
100310OG01999T23_L028;100310OG01999T23_L028RM1TM3_M1;#FFCC00;15;35;°C;;001:231_7_AI
100310OG01999T23_L028;100310OG01999T23_L028RM1TM4_M1;#FFFF00;15;35;°C;;001:231_8_AI
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028UM1LK1_Y1;#808080;-15;115;%;true;001:231_67_AI
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028WR1LK1_Y1;#C0C0C0;-20;120;%;true;001:231_25_AI
100310OG01999T23_L028_feuchte;100310OG01999T23_L028ZU0FM1_M1;#33CCCC;4;14;g/kg;;001:231_12_AI
100310OG01999T23_L028_feuchte;100310OG01999T23_L028ZU0FM1_M2;#00FF00;10;90;%rF;;001:231_200_AI
100310OG01999T23_L028_Luftmenge;100310OG01999T23_L028ZU0PM1_M1;#FFFF99;0;800;Pa;;001:231_13_AI
100310OG01999T23_L028_kaeltemaschine;100310OG01999T23_L028ZU0TM1_M1;#FF0000;20;70;°C;;001:231_1_AI
100310OG01999T23_L028;100310OG01999T23_L028ZU0TM3_M1;#FF0000;10;40;°C;;001:231_3_AI
100310OG01999T23_L028_Luftmenge;100310OG01999T23_L028ZU0YR1_Y1;#808080;-20;120;%;true;001:231_21_AI
100310OG01999T23_L029_Kaeltemaschine;100310OG01999T23_L029AU1LK1_Y1;#808080;-15;115;%;true;001:232_20_AI
100310OG01999T23_L029_Kaeltemaschine;100310OG01999T23_L029KM1KO1_M1;#00FF00;-1;2;;;001:232_145_BI_31
100310OG01999T23_L029_Kaeltemaschine;100310OG01999T23_L029KM1KO1_M2;#33CCCC;-2;3;;;001:232_146_BI_31
100310OG01999T23_L029_Kaeltemaschine;100310OG01999T23_L029KM1KO1_Y1;#000000;-10;110;%;true;001:232_26_AI
100310OG01999T23_L029_Feuchte;100310OG01999T23_L029RM1FM3_M1;#008080;25;65;%rF;;001:232_19_AI
100310OG01999T23_L029_Feuchte;100310OG01999T23_L029RM1FM4_M1;#FFCC99;25;65;%rF;;001:232_18_AI
100310OG01999T23_L029;100310OG01999T23_L029RM1TM1_V1;#969696;15;35;°C;;001:232_180_AO
100310OG01999T23_L029;100310OG01999T23_L029RM1TM3_M1;#FFCC00;15;35;°C;;001:232_7_AI
100310OG01999T23_L029;100310OG01999T23_L029RM1TM4_M1;#FFFF00;15;35;°C;;001:232_8_AI
100310OG01999T23_L029_Feuchte;100310OG01999T23_L029ZU0FM1_M1;#33CCCC;4;14;g/kg;;001:232_12_AI
100310OG01999T23_L029_Feuchte;100310OG01999T23_L029ZU0FM1_M2;#00FF00;10;90;%rF;;001:232_174_AI
100310OG01999T23_L029_Kaeltemaschine;100310OG01999T23_L029ZU0TM1_M1;#FF0000;20;70;°C;;001:232_1_AI
100310OG01999T23_L029;100310OG01999T23_L029ZU0TM3_M1;#FF0000;10;40;°C;;001:232_3_AI
100310OG01999T23_L030;100310OG01999T23_L030AB1QM1_M1;#CC99FF;0;1000;ppm;;001:231_14_AI
100310OG01999T23_L030;100310OG01999T23_L030AB1QM2_M1;#993366;-10;110;%;true;001:232_14_AI
100310OG01999T23_L030;100310OG01999T23_L030AB1TM1_M1;#FFCC00;15;35;°C;;001:231_4_AI
100310OG01999T23_L030;100310OG01999T23_L030RM1TM1_V1;#FF9900;15;35;°C;;001:233_110_AI
100310OG01999T23_L030;100310OG01999T23_L030ZU1LK2_M1;#FF0000;10;40;°C;;001:233_111_AI
