Trend_Name;Tag_Name;;Tag_Color;Tag_LowLimit;Tag_HighLimit;Tag_Unit;Tag_Type
100310UG01291T12_S002;100310UG01291T12_S002WW02_TM01XC01;BWW-Boiler 2 Speichertemp.oben XSC;#FF6600;5;105;°C;
100310UG01291T12_S002;100310UG01291T12_S002WW03_TM01XC01;BWW-Boiler 3 Speichertemp.oben XSC;#969696;0;100;°C;
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_TM01XC01;Fernleitung VL-Temp. XSC;#FF6600;20;70;°C;
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_TM01XS01;Fernleitung VL-Temp. XS;#969696;20;70;°C;
100310UG01291T12_H012_HG04;100310UG01291T12_H012HG04_TM02XC01;Raumheizung kleine Halle AU-Temp. Mittelwert;#FF6600;-20;40;°C;
100310UG01291T12_H012_HG04;100310UG01291T12_H012HG04_TM01XC01;Raumheizung kleine Halle VL-Temp. XSC;#969696;20;70;°C;
100310UG01291T12_H012_HG03;100310UG01291T12_H012HG03_TM01XC01;HG WW-Boiler/Lftg VL-Temp. XSC;#FF6600;20;70;°C;
100310UG01291T12_H012_HG02;100310UG01291T12_H012HG02_TM02XC01;Raumheizung Verwaltung AU-Temp. Mittelwert;#FF6600;-20;40;°C;
100310UG01291T12_H012_HG02;100310UG01291T12_H012HG02_TM01XC01;Raumheizung Verwaltung VL-Temp. XSC;#969696;20;70;°C;
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_PU01RM01;Fernleitung Pumpe 1 BRM;#00FF00;-1;2;;Bar
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_PU02RM01;Fernleitung Pumpe 2 BRM;#33CCCC;-2;3;;Bar
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_PU03RM01;Fernleitung Pumpe 3 BRM;#008080;-3;4;;Bar
100310UG01291T12_H012_HG02;100310UG01291T12_H012HG02_PU01RM01;Raumheizung Verwaltung Pumpe BRM;#00FF00;-1;2;;Bar
100310UG01291T12_H012_HG03;100310UG01291T12_H012HG03_PU01RM01;HG WW-Boiler/Lftg Pumpe BRM;#00FF00;-1;2;;Bar
100310UG01291T12_H012_HG04;100310UG01291T12_H012HG04_PU01RM01;Raumheizung kleine Halle Pumpe BRM;#00FF00;-1;2;;Bar
100310UG01291T12_H012_HG05;100310UG01291T12_H012HG05_PU01RM01;FL Badewasserumformer Pumpe BRM;#00FF00;-1;2;;Bar
100310EG00022T07_L010;100310EG00022T07_L010LE00_TM01XI01;Grosse Halle HI mitte LE RL-Temp. XI;#FF9900;5;55;°C;
100310EG00022T07_L010;100310EG00022T07_L010ZU00_TM01XI01;Grosse Halle HI mitte ZU-Temp. XI;#FF0000;10;40;°C;
100310EG00022T07_L010;100310EG00022T07_L010ZU01_TM01XI01;Grosse Halle HI mitte ZU-Temp.Gard.+Dusche XI;#FFCC00;10;40;°C;
100310EG00022T07_L011;100310EG00022T07_L011LE00_TM01XI01;Grosse Halle FG LE RL-Temp. XI;#FF9900;5;55;°C;
100310EG00022T07_L011;100310EG00022T07_L011ZU00_TM01XI01;Grosse Halle FG ZU-Temp. XI;#FF0000;10;40;°C;
100310EG00022T07_L011;100310EG00022T07_L011RM01_TM01XI01;Grosse Halle FG Raumtemp. XI;#FFCC00;15;35;°C;
100310EG00022T07_L011;100310EG00022T07_L011RM02_TM01XI01;Grosse Halle FG Raumtemp.Sekt.G Foyer  XI;#FFFF00;15;35;°C;
100310EG00022T07_L011;100310EG00022T07_L011RM02_FM01XI01;Grosse Halle FG Raumfeuchte Sekt.G Foyer XI;#FFFF99;15;35;°C;
100310EG00022T07_L010;100310EG00022T07_L010LE00_RV01YB01;Grosse Halle HI mitte LE-Ventil;#000000;-10;110;%;Bar
